Set,Layer,Best expert,Layer rescue (same pass) [CI],Expert rescue [CI],Spec [CI],Expert/layer [CI],Val. active
strict,L26,E003,"+0.161 [+0.093, +0.232]","+0.029 [+0.006, +0.055]","-0.042 [-0.081, -0.001]","+0.179 [+0.038, +0.338]",67/128
relaxed,L18,E001,"+0.298 [+0.245, +0.353]","+0.223 [+0.179, +0.268]","+0.156 [+0.111, +0.203]","+0.750 [+0.675, +0.823]",202/256
relaxed,L21,E001,"+0.488 [+0.413, +0.565]","+0.332 [+0.270, +0.398]","+0.212 [+0.152, +0.276]","+0.681 [+0.618, +0.738]",181/256
relaxed,L19,E002,"+0.598 [+0.519, +0.683]","+0.356 [+0.287, +0.430]","+0.175 [+0.103, +0.253]","+0.596 [+0.528, +0.659]",162/256
relaxed,L15,E005,"+0.105 [+0.062, +0.146]","+0.061 [+0.036, +0.086]","+0.020 [-0.008, +0.049]","+0.583 [+0.395, +0.860]",157/256
relaxed,L22,E001,"+0.418 [+0.356, +0.485]","+0.233 [+0.183, +0.288]","+0.115 [+0.053, +0.178]","+0.558 [+0.472, +0.641]",189/256
relaxed,L17,E001,"+0.133 [+0.099, +0.169]","+0.064 [+0.041, +0.087]","-0.007 [-0.032, +0.020]","+0.480 [+0.358, +0.600]",233/256
relaxed,L23,E002,"+0.254 [+0.204, +0.309]","+0.115 [+0.083, +0.147]","+0.016 [-0.029, +0.057]","+0.452 [+0.347, +0.558]",155/256
relaxed,L28,E002,"+0.211 [+0.149, +0.276]","+0.093 [+0.061, +0.127]","+0.020 [-0.021, +0.064]","+0.440 [+0.316, +0.592]",169/256
relaxed,L20,E005,"+0.440 [+0.373, +0.511]","+0.166 [+0.128, +0.205]","-0.038 [-0.096, +0.019]","+0.377 [+0.303, +0.452]",157/256
relaxed,L24,E007,"+0.157 [+0.098, +0.219]","+0.054 [+0.027, +0.084]","+0.010 [-0.033, +0.052]","+0.344 [+0.192, +0.524]",141/256
relaxed,L25,E003,"+0.201 [+0.143, +0.266]","+0.062 [+0.035, +0.089]","-0.036 [-0.087, +0.008]","+0.309 [+0.192, +0.440]",131/256
relaxed,L27,E007,"+0.168 [+0.114, +0.227]","+0.051 [+0.025, +0.080]","-0.036 [-0.075, +0.004]","+0.305 [+0.173, +0.456]",116/256
relaxed,L26,E003,"+0.181 [+0.133, +0.230]","+0.049 [+0.026, +0.074]","-0.044 [-0.077, -0.009]","+0.269 [+0.159, +0.393]",144/256
