repo,n_items,example_url
Capitains/flask-capitains-nemo,9,https://github.com/Capitains/flask-capitains-nemo/blob/8d91f2c05b925a6c8ea8c997baf698c87257bc58/flask_nemo/__init__.py#L784-L799
ChargePoint/pydnp3,1,https://github.com/ChargePoint/pydnp3/blob/5bcd8240d1fc0aa1579e71f2efcab63b4c61c547/examples/outstation_cmd.py#L50-L57
Chilipp/sphinx-nbexamples,4,https://github.com/Chilipp/sphinx-nbexamples/blob/08e0319ff3c70f8a931dfa8890caf48add4d0470/sphinx_nbexamples/__init__.py#L218-L222
ChrisBeaumont/soupy,4,https://github.com/ChrisBeaumont/soupy/blob/795f2f61f711f574d5218fc8a3375d02bda1104f/soupy.py#L583-L606
CiscoDevNet/webexteamssdk,11,https://github.com/CiscoDevNet/webexteamssdk/blob/6fc2cc3557e080ba4b2a380664cb2a0532ae45cd/webexteamssdk/api/rooms.py#L192-L222
CitrineInformatics/python-citrination-client,3,https://github.com/CitrineInformatics/python-citrination-client/blob/409984fc65ce101a620f069263f155303492465c/citrination_client/models/client.py#L281-L318
Clinical-Genomics/scout,107,https://github.com/Clinical-Genomics/scout/blob/90a551e2e1653a319e654c2405c2866f93d0ebb9/scout/commands/view/panels.py#L12-L29
CloverHealth/temple,1,https://github.com/CloverHealth/temple/blob/d7b75da2459f72ba74d6f3b6e1ab95c3d1b92ccd/temple/update.py#L21-L45
Contraz/demosys-py,2,https://github.com/Contraz/demosys-py/blob/6466128a3029c4d09631420ccce73024025bd5b6/demosys/loaders/scene/gltf.py#L135-L164
Cornices/cornice.ext.swagger,4,https://github.com/Cornices/cornice.ext.swagger/blob/c31a5cc8d5dd112b11dc41ccb6d09b423b537abc/cornice_swagger/converters/parameters.py#L9-L33
Crypto-toolbox/btfxwss,11,https://github.com/Crypto-toolbox/btfxwss/blob/16827fa6aacb2c0e289aa852bf61a18df6905835/btfxwss/queue_processor.py#L324-L336
CxAalto/gtfspy,6,https://github.com/CxAalto/gtfspy/blob/bddba4b74faae6c1b91202f19184811e326547e5/gtfspy/shapes.py#L214-L238
DataBiosphere/dsub,10,https://github.com/DataBiosphere/dsub/blob/443ce31daa6023dc2fd65ef2051796e19d18d5a7/dsub/lib/param_util.py#L880-L914
Devoxin/Lavalink.py,5,https://github.com/Devoxin/Lavalink.py/blob/63f55c3d726d24c4cfd3674d3cd6aab6f5be110d/lavalink/AudioTrack.py#L6-L21
DigitalGlobe/gbdxtools,6,https://github.com/DigitalGlobe/gbdxtools/blob/def62f8f2d77b168aa2bd115290aaa0f9a08a4bb/gbdxtools/simpleworkflows.py#L769-L806
Dirrot/python-cryptocoincharts-api,1,https://github.com/Dirrot/python-cryptocoincharts-api/blob/8bf7a35c1032847aaea322b304014cd52853c273/CryptoCoinChartsApi/CryptoCoinChartsApi.py#L67-L93
DiscordBotList/DBL-Python-Library,1,https://github.com/DiscordBotList/DBL-Python-Library/blob/c1461ae0acc644cdeedef8fd6b5e36f76d81c1aa/dbl/http.py#L200-L205
DistilledLtd/heimdall,2,https://github.com/DistilledLtd/heimdall/blob/7568c915a2e5bce759750d5456b39ea3498a6683/heimdall/heimdall.py#L13-L28
Diviyan-Kalainathan/CausalDiscoveryToolbox,8,https://github.com/Diviyan-Kalainathan/CausalDiscoveryToolbox/blob/be228b078ba9eb76c01b3ccba9a1c0ad9e9e5ed1/cdt/causality/pairwise/Jarfo.py#L59-L78
ElevenPaths/AtomShields,2,https://github.com/ElevenPaths/AtomShields/blob/e75f25393b4a7a315ec96bf9b8e654cb2200866a/atomshields/reports/http.py#L33-L48
EpistasisLab/scikit-mdr,2,https://github.com/EpistasisLab/scikit-mdr/blob/768565deb10467d04a960d27e000ab38b7aa8a62/mdr/utils/utils.py#L195-L218
Erotemic/ubelt,1,https://github.com/Erotemic/ubelt/blob/db802f3ad8abba025db74b54f86e6892b8927325/ubelt/util_cmd.py#L163-L199
Ex-Mente/auxi.0,5,https://github.com/Ex-Mente/auxi.0/blob/2dcdae74154f136f8ca58289fe5b20772f215046/auxi/tools/materialphysicalproperties/polynomial.py#L45-L70
GochoMugo/firecall,3,https://github.com/GochoMugo/firecall/blob/6b99ff72b3c056f51a5901f2be32030c7e68961a/firecall/sync.py#L156-L169
GreatFruitOmsk/tailhead,1,https://github.com/GreatFruitOmsk/tailhead/blob/a3b1324a39935f8ffcfda59328a9a458672889d9/tailhead/__init__.py#L198-L220
HumanBrainProject/hbp-service-client,7,https://github.com/HumanBrainProject/hbp-service-client/blob/b338fb41a7f0e7b9d654ff28fcf13a56d03bff4d/hbp_service_client/storage_service/client.py#L90-L119
HydraChain/hydrachain,9,https://github.com/HydraChain/hydrachain/blob/6c0919b0575dc8aa481f3a8c703e1a7f0575ecc3/hydrachain/consensus/base.py#L332-L342
IEMLdev/ieml,24,https://github.com/IEMLdev/ieml/blob/4c842ba7e6165e2f1b4a4e2e98759f9f33af5f25/ieml/grammar/paths/tools.py#L77-L103
IdentityPython/fedoidcmsg,15,https://github.com/IdentityPython/fedoidcmsg/blob/d30107be02521fa6cdfe285da3b6b0cdd153c8cc/src/fedoidcmsg/bundle.py#L228-L249
Jajcus/pyxmpp2,16,https://github.com/Jajcus/pyxmpp2/blob/14a40a3950910a9cd008b55f0d8905aa0186ce18/pyxmpp2/ext/legacyauth.py#L143-L166
Jammy2211/PyAutoLens,1,https://github.com/Jammy2211/PyAutoLens/blob/91e50369c7a9c048c83d217625578b72423cd5a7/autolens/data/array/scaled_array.py#L189-L205
Jasily/jasily-python,6,https://github.com/Jasily/jasily-python/blob/1c821a120ebbbbc3c5761f5f1e8a73588059242a/jasily/lang/with_any.py#L35-L61
Jaymon/pyt,6,https://github.com/Jaymon/pyt/blob/801581fd0ae238158134bde1c937fa199fa626b2/pyt/__init__.py#L43-L51
Jaza/s3-saver,4,https://github.com/Jaza/s3-saver/blob/81dc4447d76c2fc0b0238fb96fa70e879612e355/s3_saver.py#L160-L168
Julian/Virtue,3,https://github.com/Julian/Virtue/blob/d08be37d759c38c94a160bc13fe8f51bb2aeeedd/virtue/runner.py#L8-L46
Julian/libopenzwave-cffi,4,https://github.com/Julian/libopenzwave-cffi/blob/7683e5e4e08270dd7d780ab6a0ccd048343b08e1/libopenzwave/_global.py#L213-L235
L3viathan/sql-mojo-parser,3,https://github.com/L3viathan/sql-mojo-parser/blob/fc460c42f3fbcc21c6fc08c0aede8e2a5db637f3/sql_mojo_parser/__init__.py#L103-L125
LLNL/scraper,15,https://github.com/LLNL/scraper/blob/881a316e4c04dfa5a9cf491b7c7f9f997a7c56ea/scripts/github_stats.py#L235-L265
LionelAuroux/pyrser,33,https://github.com/LionelAuroux/pyrser/blob/f153a97ef2b6bf915a1ed468c0252a9a59b754d5/pyrser/ast/match.py#L488-L515
LordSputnik/mutagen,14,https://github.com/LordSputnik/mutagen/blob/38e62c8dc35c72b16554f5dbe7c0fde91acc3411/mutagen/flac.py#L686-L698
Loudr/asana-hub,9,https://github.com/Loudr/asana-hub/blob/af996ce890ed23d8ede5bf68dcd318e3438829cb/asana_hub/tool.py#L262-L282
LudovicRousseau/PyKCS11,6,https://github.com/LudovicRousseau/PyKCS11/blob/76ccd8741af2ea193aaf1ca29dfedfa412c134fe/PyKCS11/__init__.py#L820-L830
LuminosoInsight/luminoso-api-client-python,9,https://github.com/LuminosoInsight/luminoso-api-client-python/blob/3bedf2a454aee39214c11fbf556ead3eecc27881/luminoso_api/v4_client.py#L196-L214
MDAnalysis/GridDataFormats,4,https://github.com/MDAnalysis/GridDataFormats/blob/3eeb0432f8cf856912436e4f3e7aba99d3c916be/gridData/gOpenMol.py#L208-L223
MacHu-GWU/superjson-project,1,https://github.com/MacHu-GWU/superjson-project/blob/782ca4b2edbd4b4018b8cedee42eeae7c921b917/superjson/pkg/dateutil/rrule.py#L1445-L1469
ManageIQ/manageiq-api-client-python,2,https://github.com/ManageIQ/manageiq-api-client-python/blob/e0c8884929e45766c2835bc7dcf4e78b0794248f/src/manageiq_client/api.py#L393-L398
ManiacalLabs/BiblioPixel,3,https://github.com/ManiacalLabs/BiblioPixel/blob/fd97e6c651a4bbcade64733847f4eec8f7704b7c/bibliopixel/animation/collection.py#L165-L180
MartinHjelmare/leicacam,11,https://github.com/MartinHjelmare/leicacam/blob/1df37bccd34884737d3b5e169fae71dd2f21f1e2/leicacam/cam.py#L344-L387
MatMaul/pynetgear,1,https://github.com/MatMaul/pynetgear/blob/247d6b9524fcee4b2da0e65ca12c52ebdd3676b2/pynetgear/__init__.py#L243-L280
MaxStrange/AudioSegment,17,https://github.com/MaxStrange/AudioSegment/blob/1daefb8de626ddff3ff7016697c3ad31d262ecd6/audiosegment.py#L130-L155
MeirKriheli/python-bidi,1,https://github.com/MeirKriheli/python-bidi/blob/a0e265bb465c1b7ad628487991e33b5ebe364641/bidi/algorithm.py#L486-L514
Microsoft/botbuilder-python,16,https://github.com/Microsoft/botbuilder-python/blob/274663dd91c811bae6ac4488915ba5880771b0a7/libraries/botbuilder-core/botbuilder/core/message_factory.py#L47-L70
MisterY/price-database,19,https://github.com/MisterY/price-database/blob/b4fd366b7763891c690fe3000b8840e656da023e/pricedb/csv.py#L28-L42
MitchellChu/torndsession,2,https://github.com/MitchellChu/torndsession/blob/dd08554c06f47d33396a0a4485f53d0522961155/demos/memory_session.py#L53-L65
MrYsLab/PyMata,4,https://github.com/MrYsLab/PyMata/blob/7e0ec34670b5a0d3d6b74bcbe4f3808c845cc429/examples/i2c/pymata_i2c_write/bicolor_display_controller.py#L210-L219
MuhammedHasan/sklearn_utils,1,https://github.com/MuhammedHasan/sklearn_utils/blob/337c3b7a27f4921d12da496f66a2b83ef582b413/sklearn_utils/preprocessing/functional_enrichment_analysis.py#L46-L53
Music-Moo/music2storage,6,https://github.com/Music-Moo/music2storage/blob/de12b9046dd227fc8c1512b5060e7f5fcd8b0ee2/music2storage/worker.py#L26-L44
MycroftAI/padaos,2,https://github.com/MycroftAI/padaos/blob/c7fb3d72fefbe552963c5a5a0f606e1f2fde2968/padaos.py#L104-L112
MycroftAI/padatious,4,https://github.com/MycroftAI/padatious/blob/794a2530d6079bdd06e193edd0d30b2cc793e631/padatious/entity.py#L32-L39
NarrativeScience/lsi,22,https://github.com/NarrativeScience/lsi/blob/7d901b03fdb1a34ef795e5412bfe9685d948e32d/src/lsi/utils/table.py#L128-L144
NateFerrero/oauth2lib,5,https://github.com/NateFerrero/oauth2lib/blob/d161b010f8a596826050a09e5e94d59443cc12d9/oauth2lib/utils.py#L41-L65
Nekmo/amazon-dash,7,https://github.com/Nekmo/amazon-dash/blob/0e2bdc24ff8ea32cecb2f5f54f5cc1c0f99c197b/amazon_dash/config.py#L227-L240
Nekroze/greencard,1,https://github.com/Nekroze/greencard/blob/30fe7eba5742c31b666027e31f33aaa641699857/greencard/greencard.py#L22-L32
Netflix-Skunkworks/cloudaux,6,https://github.com/Netflix-Skunkworks/cloudaux/blob/c4b0870c3ac68b1c69e71d33cf78b6a8bdf437ea/cloudaux/orchestration/aws/vpc.py#L56-L69
Neurita/boyle,8,https://github.com/Neurita/boyle/blob/2dae7199849395a209c887d5f30506e1de8a9ad9/boyle/mhd/read.py#L101-L137
Nic30/hwt,75,https://github.com/Nic30/hwt/blob/8cbb399e326da3b22c233b98188a9d08dec057e6/hwt/hdl/types/boolVal.py#L70-L89
Numergy/yoda,13,https://github.com/Numergy/yoda/blob/109f0e9441130488b0155f05883ef6531cf46ee9/yoda/version.py#L20-L24
ONSdigital/sdc-cryptography,2,https://github.com/ONSdigital/sdc-cryptography/blob/846feb2b27b1c62d35ff2c290c05abcead68b23c/sdc/crypto/key_store.py#L62-L72
OpenKMIP/PyKMIP,25,https://github.com/OpenKMIP/PyKMIP/blob/b51c5b044bd05f8c85a1d65d13a583a4d8fc1b0e/kmip/core/messages/contents.py#L146-L182
OpenMath/py-openmath,4,https://github.com/OpenMath/py-openmath/blob/4906aa9ccf606f533675c28823772e07c30fd220/openmath/convert.py#L136-L149
Parsl/parsl,2,https://github.com/Parsl/parsl/blob/d7afb3bc37f50dcf224ae78637944172edb35dac/parsl/executors/low_latency/executor.py#L157-L192
Patreon/multiget-cache-py,1,https://github.com/Patreon/multiget-cache-py/blob/824ec4809c97cc7e0035810bd9fefd1262de3318/multiget_cache/base_cache_wrapper.py#L55-L60
PierreRaybaut/PyQtdoc,1,https://github.com/PierreRaybaut/PyQtdoc/blob/71dce1cf11d958f72db2f5b9519d3540569b7720/setup.py#L8-L14
PiotrDabkowski/Js2Py,13,https://github.com/PiotrDabkowski/Js2Py/blob/c0fa43f5679cf91ca8986c5747fcb07a433dc584/js2py/legecy_translators/jsparser.py#L246-L267
Pirionfr/pyLinky,2,https://github.com/Pirionfr/pyLinky/blob/4372496bfcdd95ccfd2f017634cf02b38a2d6fd1/pylinky/__main__.py#L8-L27
PolicyStat/docx2html,6,https://github.com/PolicyStat/docx2html/blob/2dc4afd1e3a3f2f0b357d0bff903eb58bcc94429/docx2html/core.py#L548-L558
PyCQA/pylint,113,https://github.com/PyCQA/pylint/blob/2bf5c61a3ff6ae90613b81679de42c0f19aea600/pylint/graph.py#L173-L198
PyFilesystem/s3fs,2,https://github.com/PyFilesystem/s3fs/blob/1c5e3a1b6abbb9dff91ea7fc4cec7353798cd536/fs_s3fs/_s3fs.py#L171-L192
PyProphet/pyprophet,2,https://github.com/PyProphet/pyprophet/blob/f546ad171750cd7685afbde6785fe71f82cadb35/pyprophet/main.py#L195-L205
Qiskit/qiskit-terra,149,https://github.com/Qiskit/qiskit-terra/blob/d4f58d903bc96341b816f7c35df936d6421267d1/qiskit/quantum_info/operators/channel/transformations.py#L168-L171
RRZE-HPC/kerncraft,47,https://github.com/RRZE-HPC/kerncraft/blob/c60baf8043e4da8d8d66da7575021c2f4c6c78af/kerncraft/kernel.py#L1110-L1115
RazerM/yourls-python,2,https://github.com/RazerM/yourls-python/blob/716845562a2bbb430de3c379c9481b195e451ccf/yourls/core.py#L121-L164
SeabornGames/Logger,5,https://github.com/SeabornGames/Logger/blob/fb8b1700557aaea8d3216bd4c4df33c302bece7f/seaborn_logger/skip_traceback.py#L17-L29
SectorLabs/django-postgres-extra,13,https://github.com/SectorLabs/django-postgres-extra/blob/eef2ed5504d225858d4e4f5d77a838082ca6053e/psqlextra/backend/base.py#L149-L166
SiLab-Bonn/pixel_clusterizer,1,https://github.com/SiLab-Bonn/pixel_clusterizer/blob/d2c8c3072fb03ebb7c6a3e8c57350fbbe38efd4d/pixel_clusterizer/clusterizer.py#L220-L239
Skyscanner/pages,1,https://github.com/Skyscanner/pages/blob/f80471ef01f84b11e4d751dff1e6398ae1e230b8/pages/ui_component.py#L68-L80
SmBe19/praw-OAuth2Util,2,https://github.com/SmBe19/praw-OAuth2Util/blob/ca0a2d4d7eefcc681aac92c9cd4b83cd9ea6c5fe/OAuth2Util/OAuth2Util.py#L234-L241
SmokinCaterpillar/pypet,77,https://github.com/SmokinCaterpillar/pypet/blob/97ad3e80d46dbdea02deeb98ea41f05a19565826/pypet/slots.py#L6-L15
StaticCube/python-synology,8,https://github.com/StaticCube/python-synology/blob/a5446a052fc91a38f7589803dc7a654180db2566/SynologyDSM/SynologyDSM.py#L512-L527
TDG-Platform/cloud-harness,11,https://github.com/TDG-Platform/cloud-harness/blob/1d8f972f861816b90785a484e9bec5bd4bc2f569/gbdx_task_template/gbdx_task_interface.py#L93-L105
Terrance/SkPy,14,https://github.com/Terrance/SkPy/blob/0f9489c94e8ec4d3effab4314497428872a80ad1/skpy/util.py#L70-L83
Toblerity/rtree,2,https://github.com/Toblerity/rtree/blob/5d33357c8e88f1a8344415dc15a7d2440211b281/rtree/index.py#L661-L677
ToucanToco/toucan-data-sdk,8,https://github.com/ToucanToco/toucan-data-sdk/blob/c3ca874e1b64f4bdcc2edda750a72d45d1561d8a/toucan_data_sdk/sdk.py#L173-L191
Tsjerk/Insane,2,https://github.com/Tsjerk/Insane/blob/b73f08910ddb0b66597b20ff75ecee7f65f4ecf6/insane/converters.py#L51-L70
UCBerkeleySETI/blimpy,17,https://github.com/UCBerkeleySETI/blimpy/blob/b8822d3e3e911944370d84371a91fa0c29e9772e/blimpy/calib_utils/stokescal.py#L267-L272
UDST/pandana,1,https://github.com/UDST/pandana/blob/961a7ef8d3b0144b190cb60bbd61845fca6fb314/pandana/loaders/osm.py#L160-L189
URXtech/cmph-cffi,1,https://github.com/URXtech/cmph-cffi/blob/85298572e51675cd0c7ef1052ed9989b0e57f0cc/cmph/__init__.py#L230-L250
VingtCinq/python-mailchimp,4,https://github.com/VingtCinq/python-mailchimp/blob/1b472f1b64fdde974732ac4b7ed48908bb707260/mailchimp3/entities/storeproductimages.py#L28-L54
VingtCinq/python-resize-image,2,https://github.com/VingtCinq/python-resize-image/blob/a4e645792ef30c5fcc558df6da6de18b1ecb95ea/resizeimage/resizeimage.py#L38-L41
VorskiImagineering/C3PO,8,https://github.com/VorskiImagineering/C3PO/blob/e3e35835e5ac24158848afed4f905ca44ac3ae00/c3po/mod/communicator.py#L127-L146
WGBH/wagtail-streamfieldtools,1,https://github.com/WGBH/wagtail-streamfieldtools/blob/192f86845532742b0b7d432bef3987357833b8ed/streamfield_tools/registry.py#L59-L73
WoLpH/mt940,3,https://github.com/WoLpH/mt940/blob/fd71c88f7ec8372f4194f831f4c29c6f9bd9d0eb/mt940/utils.py#L28-L43
Yaco-Sistemas/django-transmeta,1,https://github.com/Yaco-Sistemas/django-transmeta/blob/de070aae27770df046b4ba995f01f654db7ed1a2/transmeta/__init__.py#L70-L92
Yelp/py_zipkin,8,https://github.com/Yelp/py_zipkin/blob/0944d9a3fb1f1798dbb276694aeed99f2b4283ba/py_zipkin/util.py#L17-L29
Yubico/python-u2flib-host,2,https://github.com/Yubico/python-u2flib-host/blob/eadc4dbf3bf516e74ea00d2e5690742a535834cb/u2flib_host/authenticate.py#L41-L80
a-tal/nagaram,7,https://github.com/a-tal/nagaram/blob/2edcb0ef8cb569ebd1c398be826472b4831d6110/nagaram/cmdline.py#L148-L160
abau171/highfive,7,https://github.com/abau171/highfive/blob/07b3829331072035ab100d1d66deca3e8f3f372a/highfive/master.py#L11-L22
abourget/gevent-socketio,1,https://github.com/abourget/gevent-socketio/blob/1cdb1594a315326987a17ce0924ea448a82fab01/socketio/mixins.py#L28-L39
accraze/pymtranslate,1,https://github.com/accraze/pymtranslate/blob/b18f9d7e8ef1583c988e8beb6c3304d362a4d979/pymtranslate/translator.py#L44-L62
adafruit/Adafruit_Python_PureIO,1,https://github.com/adafruit/Adafruit_Python_PureIO/blob/6f4976d91c52d70b67b28bba75a429b5328a52c1/Adafruit_PureIO/smbus.py#L258-L268
adamcharnock/seed,3,https://github.com/adamcharnock/seed/blob/48232a2497bd94c5e1466a5b33a929f253ab5112/seed/commands/release.py#L327-L360
addok/addok,8,https://github.com/addok/addok/blob/46a270d76ec778d2b445c2be753e5c6ba070a9b2/addok/shell.py#L375-L384
aeroxis/sultan,1,https://github.com/aeroxis/sultan/blob/65b4271a161d6c19a9eb0170b5a95832a139ab7f/src/sultan/echo/colorlog/colorlog.py#L182-L199
agabrown/PyGaia,10,https://github.com/agabrown/PyGaia/blob/ae972b0622a15f713ffae471f925eac25ccdae47/pygaia/errors/photometric.py#L38-L59
agile-geoscience/striplog,20,https://github.com/agile-geoscience/striplog/blob/8033b673a151f96c29802b43763e863519a3124c/striplog/lexicon.py#L211-L251
agsimeonov/cbexchange,2,https://github.com/agsimeonov/cbexchange/blob/e3762f77583f89cf7b4f501ab3c7675fc7d30ab3/cbexchange/private.py#L274-L295
aholkner/bacon,10,https://github.com/aholkner/bacon/blob/edf3810dcb211942d392a8637945871399b0650d/bacon/graphics.py#L181-L195
aio-libs/aioftp,7,https://github.com/aio-libs/aioftp/blob/b45395b1aba41301b898040acade7010e6878a08/aioftp/client.py#L445-L479
albertodonato/prometheus-aioexporter,3,https://github.com/albertodonato/prometheus-aioexporter/blob/e1b85544ce72bfaae9182597709a2ecede8c8242/prometheus_aioexporter/script.py#L139-L143
aleju/imgaug,1,https://github.com/aleju/imgaug/blob/786be74aa855513840113ea523c5df495dc6a8af/imgaug/augmentables/polys.py#L593-L636
alex-kostirin/pyatomac,5,https://github.com/alex-kostirin/pyatomac/blob/3f46f6feb4504315eec07abb18bb41be4d257aeb/atomac/ooldtp/__init__.py#L623-L645
alexprengere/currencyconverter,4,https://github.com/alexprengere/currencyconverter/blob/e3cb0d693819c0c824214225b23a47e9380f71df/currency_converter/currency_converter.py#L147-L159
alghafli/fileslice,2,https://github.com/alghafli/fileslice/blob/ada4cb2a1bb78a3d7f7b43fc81f6a1921f8d41c2/fileslice.py#L74-L93
algofairness/BlackBoxAuditing,4,https://github.com/algofairness/BlackBoxAuditing/blob/b06c4faed5591cd7088475b2a203127bc5820483/BlackBoxAuditing/repairers/calculators.py#L3-L24
alpha-xone/xbbg,6,https://github.com/alpha-xone/xbbg/blob/70226eb19a72a08144b5d8cea9db4913200f7bc5/xbbg/core/missing.py#L8-L15
ambitioninc/python-logentries-api,9,https://github.com/ambitioninc/python-logentries-api/blob/77ff1a7a2995d7ea2725b74e34c0f880f4ee23bc/logentries_api/special_alerts.py#L291-L306
amcat/progressmonitor,5,https://github.com/amcat/progressmonitor/blob/d4cabebc95bfd1447120f601c094b20bee954285/progressmonitor/__init__.py#L10-L31
amelchio/eternalegypt,1,https://github.com/amelchio/eternalegypt/blob/895e0b235ceaf7f61458c620237c3ad397780e98/examples/failover.py#L12-L27
amorison/loam,7,https://github.com/amorison/loam/blob/a566c943a75e068a4510099331a1ddfe5bbbdd94/loam/cli.py#L182-L201
amyth/django-instapush,1,https://github.com/amyth/django-instapush/blob/f8643a2e342fc73a16c95dff79c3daac8ce4b034/instapush/libs/gcm.py#L150-L156
analytehealth/django-analytics,1,https://github.com/analytehealth/django-analytics/blob/7782d3f81249dcb1b266afb0cb1e90000108c74d/djanalytics/views.py#L123-L135
andreafrancia/trash-cli,1,https://github.com/andreafrancia/trash-cli/blob/5abecd53e1d84f2a5fd3fc60d2f5d71e518826c5/trashcli/put.py#L273-L308
andreikop/python-ws-discovery,2,https://github.com/andreikop/python-ws-discovery/blob/a7b852cf43115c6f986e509b1870d6963e76687f/wsdiscovery/daemon.py#L555-L565
anentropic/dirtyebay,2,https://github.com/anentropic/dirtyebay/blob/c3194932360445563cfe0c7e034e41f09358c7eb/dirtyebay/utils.py#L36-L57
ankitmathur3193/song-cli,1,https://github.com/ankitmathur3193/song-cli/blob/ca8ccfe547e9d702313ff6d14e81ae4355989a67/song/commands/SearchEngineParser/GoogleParser.py#L10-L18
annoviko/pyclustering,2,https://github.com/annoviko/pyclustering/blob/98aa0dd89fd36f701668fb1eb29c8fb5662bf7d0/pyclustering/cluster/clique.py#L108-L125
ansible/ansible-lint,3,https://github.com/ansible/ansible-lint/blob/b4a8743794e592698c32e760bc774a85f8eebeb5/lib/ansiblelint/utils.py#L599-L634
ansible/tower-cli,10,https://github.com/ansible/tower-cli/blob/a2b151fed93c47725018d3034848cb3a1814bed7/tower_cli/models/base.py#L235-L246
antevens/listen,4,https://github.com/antevens/listen/blob/d3ddff8e7fbfb672c5bd7f6f4febeb5e921d8c67/listen/signal_handler.py#L190-L204
apache/airflow,149,https://github.com/apache/airflow/blob/b69c686ad8a0c89b9136bb4b31767257eb7b2597/airflow/contrib/hooks/gcp_sql_hook.py#L97-L112
apache/incubator-heron,10,https://github.com/apache/incubator-heron/blob/ad10325a0febe89ad337e561ebcbe37ec5d9a5ac/heron/instance/src/python/utils/misc/pplan_helper.py#L176-L208
appknox/google-chartwrapper,3,https://github.com/appknox/google-chartwrapper/blob/3769aecbef6c83b6cd93ee72ece478ffe433ac57/GChartWrapper/GChart.py#L271-L283
appliedsec/pygeoip,2,https://github.com/appliedsec/pygeoip/blob/2a725df0b727e8b08f217ab84f7b8243c42554f5/pygeoip/__init__.py#L406-L422
arcticfoxnv/slackminion,2,https://github.com/arcticfoxnv/slackminion/blob/62ea77aba5ac5ba582793e578a379a76f7d26cdb/slackminion/plugins/core/acl.py#L151-L159
arlyon/hyperion,2,https://github.com/arlyon/hyperion/blob/d8de0388ba98b85ce472e0f49ac18fecb14d3343/hyperion/models/util.py#L118-L131
asciimoo/searx,1,https://github.com/asciimoo/searx/blob/a84caa22cf947e973c10aa968d35fb2bdda6d048/searx/poolrequests.py#L90-L128
assemblerflow/flowcraft,32,https://github.com/assemblerflow/flowcraft/blob/fc3f4bddded1efc76006600016dc71a06dd908c0/flowcraft/templates/process_viral_assembly.py#L393-L405
